zip_code,population,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Some Other Race,White
63101,0.007391903818411883,0.0031167585710860706,0.032606089666746586,0.49820187005514266,0.04866938384080556,0.0004795013186286262,0.01846080076720211,0.3838408055622153
63102,0.004444712245643012,0.0035885167464114833,0.04585326953748006,0.4960127591706539,0.044657097288676235,0.0,0.025917065390749602,0.3911483253588517
63103,0.016678304204045608,0.0031877590054191903,0.04792264371480183,0.4760386781425991,0.04154712570396345,0.0007438104345978111,0.020507916268196792,0.40675804909148866
63104,0.03423385424604708,0.001604804058601232,0.018636434228917535,0.41119221411192214,0.03271729564632189,0.00031060723714862557,0.011958378630222085,0.49764456178495625
63105,0.033399141539628474,0.001591849729385546,0.1307439244401995,0.07577204711875199,0.03974318157699246,0.00010612331529236973,0.010400084898652235,0.7178711662952351
63106,0.016150184487458044,0.002194666959288928,0.0018654669153955886,0.9243937232524965,0.012838801711840228,0.0001097333479644464,0.005925600790080105,0.03368813782508504
63107,0.015646875764267206,0.003511156416355193,0.0036244195265601993,0.8946653075093443,0.01200588968173066,0.00022652622041001246,0.007248839053120399,0.06263449994336845
63108,0.04182956265307497,0.0024573147481252383,0.1223149599627166,0.26657628267593103,0.04698555268398085,0.0005084099478879804,0.023598695081133755,0.5231962038723891
63109,0.04745456929887677,0.002278074466893229,0.019419651193188184,0.07428016581394481,0.03977293946297195,0.00018672741531911715,0.012025245546551145,0.8304888523733055
63110,0.032252519201936676,0.0019231825924501346,0.05022253969998351,0.24204626627836695,0.04357382273751305,0.0004945326666300346,0.017528435628331226,0.6194296389911533
63111,0.03462551349895262,0.00588596581021599,0.021189476916777562,0.4148326338417443,0.1030299928344764,0.0003070938683590951,0.060292762821169,0.40439144231753504
63112,0.033590540631546116,0.003218318033132848,0.06600189933523266,0.6228764376912526,0.04637543526432415,0.00036931518412999895,0.027065527065527065,0.22908093278463648
63113,0.01928523072451645,0.0023892666789193163,0.0020216871898548062,0.9035103841205661,0.009281382098878882,0.0003675794890645102,0.008821907737548245,0.051553023341297556
63115,0.02845466499842273,0.0029895366218236174,0.0010587942202291978,0.9496761335326358,0.009902840059790733,6.228201295465869e-05,0.006975585450921774,0.01332835077229696
63116,0.07436031942381785,0.005076384089229963,0.07435830215210086,0.2161157320241188,0.09251888748540242,0.0003336590481184013,0.047880073404990585,0.5713434543244595
63117,0.017119585443744617,0.0010351966873706005,0.059420289855072465,0.08695652173913043,0.041407867494824016,0.00010351966873706004,0.011801242236024845,0.7715320910973085
63118,0.04464915483123208,0.0041279669762641896,0.026276097483527824,0.4625704532825276,0.09470508851313805,0.00031753592125109155,0.05485433039612606,0.37104072398190047
63119,0.06166063523231951,0.0020118989451901243,0.021067456097490875,0.07001408329261632,0.03242031443106372,8.62242405081482e-05,0.009283476561377289,0.839967809616877
63120,0.012782978240758792,0.000831831415499792,0.002495494246499376,0.9434354637460142,0.012616109801746846,0.0002772771384999307,0.00804103701649799,0.018023014002495494
63123,0.09036341016470956,0.002314224636686344,0.048382984565298395,0.03075173076545922,0.03349742101237522,0.0004314656102296574,0.010570907450626606,0.8476141912961619
63125,0.05815696852193823,0.0031082398829839104,0.033276450511945395,0.04927474402730375,0.042997318381277426,0.0001523647001462701,0.014444173573866407,0.8251462701121404
63130,0.05219878567909461,0.0016296598085149725,0.06939634684592924,0.3659265295036328,0.039756909078563184,0.0007129761662253005,0.0191145515040402,0.48332993820873227
63133,0.01142014581775262,0.0020173805090006208,0.0012414649286157666,0.8952513966480447,0.024984481688392304,0.0,0.015673494723774054,0.048417132216014895
63136,0.07402005437151982,0.00205904182727991,0.00349558263701008,0.9027701295280963,0.012880982593913855,0.0001915387746306893,0.007589723944741064,0.055187109440467355
63137,0.033255592220690244,0.002664535038635758,0.0017585931254996002,0.8375166533439915,0.011297628563815615,0.000319744204636291,0.005595523581135092,0.12278177458033573
63138,0.03340977482251278,0.0039253129641417354,0.003288775726713346,0.8157224697644813,0.017982176957352006,0.0002121790791427965,0.012465520899639296,0.1273074474856779
63139,0.038937309708541715,0.0020026398434299757,0.034773110008647766,0.08083382640753721,0.042601611214783126,0.00036411633516908654,0.015702516954166856,0.8016931409585363
63143,0.017165663002909975,0.0023745612223828204,0.024261821185215776,0.12626471195539954,0.04398100351022094,0.0008259343382201115,0.014247367334296924,0.7486062358042536
63147,0.01506204520562997,0.0030591834333450994,0.001294269914107542,0.9166960818919873,0.010118837510295329,0.0,0.0056477232615601836,0.04341687257324391
