zip_code,all_transit,walk_score,bike_score
63101,0.92,0.85,0.55
63102,0.84,0.76,0.74
63103,0.92,0.74,0.66
63104,0.49,0.77,0.7
63105,0.86,0.38,0.59
63106,0.77,0.38,0.44
63107,0.74,0.69,0.62
63108,0.91,0.77,0.64
63109,0.7,0.85,0.54
63110,0.86,0.81,0.74
63111,0.72,0.59,0.51
63112,0.91,0.46,0.48
63113,0.68,0.61,0.54
63115,0.69,0.55,0.38
63116,0.44,0.71,0.68
63117,0.79,0.68,0.47
63118,0.71,0.9,0.59
63119,0.28,0.68,0.46
63120,0.57,0.18,0.33
63123,0.39,0.44,0.31
63125,0.58,0.41,0.31
63130,0.9,0.5,0.47
63133,0.62,0.34,0.31
63136,0.49,0.43,0.21
63137,0.48,0.21,0.27
63138,0.51,0.04,0.14
63139,0.58,0.64,0.64
63143,0.84,0.91,0.6
63147,0.56,0.31,0.37
