zip_code,wt_avg_L
63021,0.0
63129,0.0
63031,5.0
63123,3.9
63136,4.9
63026,0.0
63017,4.4
63033,5.7
63122,7.9
63011,3.6
63114,4.6
63119,2.8
63125,5.8
63146,5.8
63130,9.0
63128,0.0
63121,5.8
63043,5.8
63141,5.4
63137,4.8
63005,2.2
63034,0.0
63131,3.3
63138,5.1
63042,3.9
63135,8.6
63105,8.6
63069,0.0
63126,4.3
63074,5.2
63025,0.0
63132,5.4
63134,8.4
63044,5.5
63124,3.1
63117,7.9
63144,7.9
63088,0.0
63143,nan
63040,2.9
63038,0.0
63133,6.2
63127,3.3
63140,8.4
63045,2.8
63001,nan
63198,nan
63145,5.3
63099,0.0
63006,2.4
63022,3.9
63024,0.0
63032,4.9
63151,2.0
63167,4.6
63171,8.1
63195,9.0
