zip_code,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino,Some Other Race,Two or More Races,White
63005,28,2753,309,619,7,14796,127,1070,14941
63011,58,3007,1000,1257,5,30567,313,2222,30890
63017,74,5421,1362,1927,19,32436,474,2673,32750
63021,108,4891,1679,2082,19,45083,761,3675,45547
63025,22,252,116,506,6,15133,118,969,15259
63026,131,1124,544,1443,13,39082,483,2907,39446
63031,98,622,19551,1493,23,23142,816,3005,23494
63033,89,243,31018,861,12,9361,510,1815,9488
63034,30,304,12595,289,6,4534,205,712,4576
63038,18,265,116,221,0,5825,57,440,5879
63040,10,518,131,266,0,7594,64,469,7665
63042,62,287,8922,903,7,8299,565,1325,8478
63043,76,3144,3043,988,15,13891,524,1477,14083
63044,46,343,2315,818,3,6554,454,779,6647
63049,54,218,143,477,1,15145,182,1057,15274
63069,54,113,788,446,5,13288,182,1005,13395
63074,123,405,4819,1224,8,7752,761,1215,7902
63088,8,487,363,389,2,6548,138,552,6671
63105,30,2464,1428,749,2,13283,196,1197,13529
63114,252,842,10552,4752,7,16884,3104,2986,17494
63117,10,574,840,400,1,7351,114,668,7453
63119,70,733,2436,1128,3,28925,323,2003,29225
63120,6,18,6805,91,2,122,58,194,130
63121,64,362,18493,516,6,2733,310,867,2807
63122,59,651,1796,1093,11,36050,296,2232,36274
63123,118,2467,1568,1708,22,42781,539,3056,43219
63124,14,710,380,281,0,9545,53,612,9606
63125,102,1092,1617,1411,5,26737,474,2448,27078
63126,35,365,314,491,6,13940,154,921,14056
63127,11,209,68,154,0,4948,42,328,4984
63128,34,788,392,685,2,26676,155,1490,26867
63129,114,1166,1382,1456,11,47072,401,2949,47409
63130,48,2044,10778,1171,21,13951,563,1764,14236
63131,14,1240,316,479,8,15479,151,917,15595
63132,52,1788,5058,756,0,6286,410,953,6396
63133,13,8,5769,161,0,296,101,241,312
63134,72,141,7745,1352,9,2773,855,907,3008
63135,40,107,13395,440,6,4799,268,921,4847
63136,86,146,37706,538,8,2238,317,1199,2305
63137,50,33,15716,212,6,2257,105,551,2304
63138,74,62,15378,339,4,2340,235,699,2400
63140,1,7,146,18,0,78,10,15,79
63141,36,2599,1816,831,7,15758,317,1222,15998
63143,23,235,1223,426,8,7147,138,808,7251
63144,22,627,394,334,1,7737,89,627,7836
63146,81,4239,4733,1290,14,19612,569,1945,19878
