lat,lng
38.6460893,-90.6183912
38.6014701,-90.5611305
38.6468134,-90.5379348
38.5753656,-90.5307505
38.5055534,-90.6383302
38.5164121,-90.4722175
38.8067833,-90.3394554
38.794527,-90.2843328
38.8315047,-90.2909293
38.5858106,-90.6548017
38.5757506,-90.6234183
38.7799186,-90.376092
38.7216607,-90.445537
38.7475404,-90.4214047
38.4891576,-90.5166163
38.5073768,-90.7150721
38.7257206,-90.3868241
38.5570072,-90.4931873
38.6418964,-90.3214253
38.7011981,-90.3632362
38.6337194,-90.3256334
38.5927934,-90.3548217
38.6891339,-90.2627465
38.7063303,-90.2979553
38.5839126,-90.4120876
38.5521416,-90.3254753
38.6416534,-90.379538
38.5220841,-90.2965814
38.5516111,-90.3791551
38.5399467,-90.4070928
38.4978635,-90.3739935
38.4696666,-90.3242032
38.6578604,-90.3261871
38.6139695,-90.4433326
38.6747996,-90.3767926
38.6765891,-90.3033376
38.7335714,-90.3406366
38.748165,-90.3034459
38.7410856,-90.2608049
38.7490342,-90.2178595
38.7876521,-90.2123781
38.7392655,-90.323538
38.6601012,-90.4529554
38.6143267,-90.3196033
38.6218381,-90.3472812
38.6894541,-90.4487045
