state,zcta5,county,pop100,afact,rank,fipco,stab
" " ,"ZIP Census Tabulation Area" ," " ,"Census 2k 100% Pop in ZCTA/County intersection" ,"Portion of Census 2k Pop of ZCTA in this County" ," " ," " ," "
29,63005,St. Louis MO,"16,644",0.998,1,29189,MO
29,63011,St. Louis MO,"38,100",1.000,1,29189,MO
29,63017,St. Louis MO,"42,716",1.000,1,29189,MO
29,63021,St. Louis MO,"54,560",1.000,1,29189,MO
29,63025,St. Louis MO,"8,638",0.782,1,29189,MO
29,63026,St. Louis MO,"22,674",0.548,1,29189,MO
29,63031,St. Louis MO,"50,013",1.000,1,29189,MO
29,63033,St. Louis MO,"45,574",1.000,1,29189,MO
29,63034,St. Louis MO,"16,803",1.000,1,29189,MO
29,63038,St. Louis MO,"5,066",1.000,1,29189,MO
29,63040,St. Louis MO,"8,300",1.000,1,29189,MO
29,63042,St. Louis MO,"19,162",1.000,1,29189,MO
29,63043,St. Louis MO,"22,401",1.000,1,29189,MO
29,63044,St. Louis MO,"14,623",1.000,1,29189,MO
29,63049,St. Louis MO,84,0.006,2,29189,MO
29,63069,St. Louis MO,"2,945",0.194,2,29189,MO
29,63074,St. Louis MO,"15,399",1.000,1,29189,MO
29,63088,St. Louis MO,"8,366",1.000,1,29189,MO
29,63105,St. Louis MO,"13,434",0.927,1,29189,MO
29,63114,St. Louis MO,"38,479",1.000,1,29189,MO
29,63117,St. Louis MO,"8,981",0.919,1,29189,MO
29,63119,St. Louis MO,"34,108",0.991,1,29189,MO
29,63120,St. Louis MO,"1,307",0.099,2,29189,MO
29,63121,St. Louis MO,"29,172",1.000,1,29189,MO
29,63122,St. Louis MO,"38,653",1.000,1,29189,MO
29,63123,St. Louis MO,"47,428",0.955,1,29189,MO
29,63124,St. Louis MO,"9,819",1.000,1,29189,MO
29,63125,St. Louis MO,"32,709",0.987,1,29189,MO
29,63126,St. Louis MO,"15,386",1.000,1,29189,MO
29,63127,St. Louis MO,"4,852",1.000,1,29189,MO
29,63128,St. Louis MO,"29,122",1.000,1,29189,MO
29,63129,St. Louis MO,"51,191",1.000,1,29189,MO
29,63130,St. Louis MO,"34,032",0.989,1,29189,MO
29,63131,St. Louis MO,"16,396",1.000,1,29189,MO
29,63132,St. Louis MO,"13,731",1.000,1,29189,MO
29,63133,St. Louis MO,"8,679",0.998,1,29189,MO
29,63134,St. Louis MO,"14,982",1.000,1,29189,MO
29,63135,St. Louis MO,"21,532",1.000,1,29189,MO
29,63136,St. Louis MO,"49,287",0.919,1,29189,MO
29,63137,St. Louis MO,"20,170",0.951,1,29189,MO
29,63138,St. Louis MO,"21,872",1.000,1,29189,MO
29,63140,St. Louis MO,789,1.000,1,29189,MO
29,63141,St. Louis MO,"20,025",1.000,1,29189,MO
29,63143,St. Louis MO,"9,279",0.845,1,29189,MO
29,63144,St. Louis MO,"9,072",1.000,1,29189,MO
29,63146,St. Louis MO,"29,760",1.000,1,29189,MO
